"full_name","e","a","i","om","w","ma","per_y"
"438116 (2005 NX44)",0.9074,2.216,36.50,308.83,215.18,323.54,3.3
"438661 (2008 EP6)",0.2932,1.209,17.72,303.22,130.30,231.82,1.33
"438908 (2009 XO)",0.5434,1.859,0.35,27.95,140.52,287.57,2.53
"438955 (2010 LN14)",0.4746,1.154,1.47,342.96,33.25,138.77,1.24
"438990 (2010 SG13)",0.7485,1.252,33.80,252.94,225.12,314.11,1.4
"439313 (2012 VE82)",0.5437,2.11,9.92,110.40,186.45,12.64,3.07
"439437 (2013 NK4)",0.5499,1.023,6.55,33.70,50.57,233.00,1.03
"439877 (1999 XM141)",0.3691,1.236,21.62,72.98,105.80,337.80,1.37
"440212 (2004 OB)",0.4304,1.681,3.44,174.52,223.35,55.29,2.18
"441058 (2007 PH25)",0.8110,2.545,53.22,150.26,331.82,64.22,4.06
"441641 (2008 WZ13)",0.5625,1.995,8.20,51.73,133.93,165.73,2.82
"441987 (2010 NY65)",0.3701,1.003,11.54,267.92,252.07,175.65,1.01
"442037 (2010 PR66)",0.6872,2.927,17.60,292.75,319.52,310.29,5.01
"442523 (2011 WU95)",0.4245,1.667,6.72,67.67,242.41,75.48,2.15
"442605 (2012 HY33)",0.5435,1.998,14.70,63.58,270.82,98.83,2.82
"443103 (2013 WT67)",0.1922,1.035,21.47,322.75,99.03,159.08,1.05
"443104 (2013 XK22)",0.2032,1.046,6.99,268.33,265.78,343.27,1.07
"443806 (1998 FL3)",0.2478,1.26,26.39,180.10,121.34,192.54,1.41
"443880 (2001 UZ16)",0.4263,1.76,12.67,323.10,28.63,320.12,2.34
"444004 (2004 AS1)",0.1744,1.07,17.21,322.53,262.12,174.80,1.11
"444193 (2005 SE71)",0.1944,1.069,24.83,39.10,78.29,22.73,1.11
"444584 (2006 UK)",0.5389,1.494,4.75,243.92,252.35,255.97,1.83
"445025 (2008 NS1)",0.8090,2.409,13.47,305.78,211.12,125.46,3.74
"445305 (2010 DM56)",0.2927,1.306,25.60,349.61,48.17,350.69,1.49
"445775 (2011 YA)",0.7592,2.113,5.19,340.00,227.67,35.99,3.07
"445830 (2012 CL19)",0.4412,1.562,2.87,128.51,295.33,206.32,1.95
"445974 (2013 BJ18)",0.3640,1.478,3.71,90.82,159.61,98.51,1.8
"446791 (1998 SJ70)",0.7056,2.237,7.30,21.43,246.99,304.35,3.35
"446833 (2001 RB12)",0.3813,1.052,6.61,333.19,141.71,68.99,1.08
"446862 (2001 VB76)",0.3483,1.459,4.24,259.39,248.50,307.50,1.76
"447221 (2005 UO5)",0.1503,1.161,19.68,50.74,76.36,339.83,1.25
"447755 (2007 JX2)",0.5261,1.708,4.22,44.31,87.95,320.24,2.23
"447903 (2007 XJ20)",0.6001,1.693,10.65,56.54,152.03,168.87,2.2
"448003 (2008 DE)",0.4140,1.714,14.77,55.91,179.20,114.00,2.24
"448628 (2010 VF1)",0.6531,1.244,22.15,216.34,334.34,294.48,1.39
"448721 (2011 BN24)",0.4125,1.544,3.94,195.74,61.85,328.23,1.92
"449089 (2012 SC22)",0.6318,1.319,12.61,344.34,167.50,250.84,1.51
"449107 (2012 VJ82)",0.3899,1.359,15.72,257.40,271.88,115.36,1.58
"450142 (1998 XN2)",0.5420,1.998,1.79,255.19,127.00,66.15,2.82
"450143 (1999 ED5)",0.4663,1.746,18.18,5.51,274.02,352.37,2.31
"450159 (2000 JJ5)",0.7024,1.91,9.45,59.83,50.90,119.20,2.64
"450160 (2000 RM12)",0.6674,2.433,57.25,354.42,101.94,106.38,3.8
"450259 (2003 WQ7)",0.4531,1.8,17.80,38.56,100.19,199.03,2.42
"450263 (2003 WD158)",0.4091,1.426,16.73,92.20,102.39,17.09,1.7
"450270 (2004 AE)",0.3326,1.432,18.72,307.56,193.19,30.60,1.71
"450293 (2004 LV3)",0.2757,1.231,35.34,273.47,121.35,237.45,1.37
"450894 (2008 BT18)",0.5946,2.22,8.15,107.53,139.40,338.58,3.31
"451003 (2008 UD1)",0.4637,1.716,6.48,154.19,6.69,308.36,2.25
"451124 (2009 KC3)",0.6984,3.209,10.01,340.11,337.28,231.75,5.75
"451157 (2009 SQ104)",0.2795,1.285,4.02,56.52,95.68,352.48,1.46
"451297 (2010 TK54)",0.4960,1.84,30.79,28.14,223.01,316.01,2.5
"451370 (2011 AK5)",0.2308,1.188,5.52,316.78,325.69,57.90,1.29
"452302 (1995 YR1)",0.8268,1.698,3.58,106.52,110.04,335.76,2.21
"452313 (1998 XR16)",0.5814,2.273,20.50,91.48,68.57,171.98,3.43
"452334 (2001 LB)",0.1891,1.236,20.80,80.87,118.25,37.96,1.37
"452376 (2002 AC5)",0.4937,1.76,16.55,82.37,331.72,290.44,2.34
"452474 (2004 BG11)",0.4875,1.776,34.11,108.15,83.86,235.93,2.37
"452639 (2005 UY6)",0.8726,2.249,12.21,343.54,180.92,187.59,3.37
"452807 (2006 KV89)",0.2726,1.15,3.55,71.69,87.81,19.64,1.23
"453707 (2010 XY72)",0.2287,1.133,31.48,34.42,307.01,210.45,1.21
"453729 (2011 BO24)",0.2780,1.381,20.37,91.47,178.61,40.06,1.62
"454094 (2013 BZ45)",0.1448,1.015,11.85,131.05,98.76,96.20,1.02
"454100 (2013 BO73)",0.4182,1.331,4.54,24.78,298.15,356.14,1.54
"454101 (2013 BP73)",0.6287,1.328,6.85,80.03,251.89,323.38,1.53
"455148 (1994 UG)",0.2929,1.239,5.21,13.60,225.47,42.93,1.38
"455176 (1999 VF22)",0.7388,1.313,3.92,3.22,271.98,243.48,1.5
"455299 (2002 EL6)",0.5779,2.304,9.53,84.87,186.71,145.71,3.5
"455426 (2003 MT9)",0.9224,2.533,6.84,233.38,200.70,86.80,4.03
"455550 (2004 JO2)",0.5684,2.293,18.76,222.40,127.65,273.13,3.47
"455554 (2004 MQ1)",0.7052,2.407,11.13,56.96,332.11,135.83,3.73
"455588 (2004 RU331)",0.2440,1.241,17.46,201.56,261.84,109.33,1.38
"455594 (2004 SV55)",0.6582,1.759,41.17,344.50,280.87,235.45,2.33
"455795 (2005 SF)",0.6545,1.951,10.11,110.42,148.91,18.31,2.73
"455956 (2005 VE)",0.2754,1.064,22.42,223.37,31.75,233.93,1.1
"456051 (2006 AW)",0.5981,2.215,10.45,281.41,113.25,264.02,3.3
"456301 (2006 SV134)",0.4807,1.868,21.54,217.17,64.40,71.89,2.55
"456898 (2007 VG184)",0.6710,2.384,16.11,146.91,155.86,228.84,3.68
"456938 (2007 YV56)",0.6221,1.576,6.24,102.36,265.75,203.84,1.98
"456973 (2008 BS2)",0.4712,1.587,14.14,311.08,351.10,301.51,2
"457647 (2009 CZ)",0.7150,2.285,21.88,46.59,189.18,177.47,3.45
"457662 (2009 DZ)",0.3021,1.453,14.11,151.44,335.89,349.33,1.75
"457768 (2009 KN4)",0.5247,1.941,9.14,308.21,38.35,219.58,2.7
"457912 (2009 UW18)",0.4391,1.279,16.99,227.20,59.85,192.32,1.45
"458062 (2009 YO)",0.5630,1.253,32.01,266.33,1.83,2.41,1.4
"458116 (2010 DA)",0.5657,1.03,20.54,162.31,122.24,285.48,1.05
"458122 (2010 EW45)",0.6690,2.067,2.12,232.92,135.58,353.60,2.97
"458418 (2011 AM12)",0.5377,1.854,38.50,124.76,237.74,199.81,2.53
"458723 (2011 KQ12)",0.5030,1.811,19.29,83.61,142.91,174.35,2.44
"458732 (2011 MD5)",0.6028,2.485,10.55,170.33,224.89,91.33,3.92
"459046 (2012 AS10)",0.4873,1.597,12.50,50.93,194.94,347.25,2.02
"459119 (2012 BJ134)",0.8330,2.256,21.28,144.49,138.28,242.03,3.39
"459386 (2012 KJ11)",0.5715,1.569,35.83,339.62,305.31,33.46,1.96
"459451 (2012 WG32)",0.4959,1.835,17.62,26.55,300.49,355.82,2.48
"459458 (2012 XR134)",0.7730,2.013,11.99,217.88,355.47,352.69,2.86
"459462 (2013 AY52)",0.4744,1.314,18.35,116.32,251.85,348.12,1.51
"459683 (2013 MY5)",0.4532,1.662,3.00,102.88,279.04,61.87,2.14
"459872 (2014 EK24)",0.0701,1.009,4.80,340.54,63.94,297.60,1.01
"461353 (1999 LS7)",0.3008,1.01,13.05,252.29,123.79,265.39,1.02
"461852 (2006 GY2)",0.4959,1.858,30.56,54.29,216.73,87.41,2.53
"461912 (2006 RG2)",0.6503,2.696,8.58,30.76,75.26,10.41,4.43
"462041 (2007 DL8)",0.7632,2.663,19.64,154.73,135.34,341.51,4.35
"462550 (2009 CB3)",0.7237,1.065,21.50,158.73,229.52,148.11,1.1
"462736 (2010 BL2)",0.7847,2.225,59.90,91.22,199.58,186.74,3.32
"462775 (2010 GY6)",0.2343,1.286,21.91,204.67,116.03,227.63,1.46
"462959 (2011 DU)",0.3178,1.172,2.95,176.87,120.20,164.01,1.27
"463282 (2012 HR15)",0.7407,2.471,28.24,80.43,332.87,98.08,3.88
"463387 (2013 CT82)",0.6248,2.085,1.80,271.38,90.54,30.03,3.01
"463664 (2014 JY24)",0.5928,1.632,19.96,67.27,38.16,68.39,2.09
"464797 (2004 FZ1)",0.5309,1.794,52.62,152.59,89.50,171.68,2.4
"465402 (2008 HW1)",0.9601,2.587,10.47,127.46,250.71,335.17,4.16
"465617 (2009 EK1)",0.2290,1.241,9.12,358.38,21.87,230.00,1.38
"465633 (2009 JR5)",0.3514,1.252,3.95,128.18,309.95,139.11,1.4
"465824 (2010 FR)",0.3654,1.131,14.24,167.27,272.73,98.40,1.2
"465826 (2010 GA24)",0.5468,2.097,7.68,30.66,237.57,261.43,3.04
"465892 (2010 UT7)",0.6605,1.584,25.43,65.75,277.34,28.06,1.99
"466130 (2012 FZ23)",0.6104,2.483,75.62,179.33,358.13,71.08,3.91
"466508 (2014 GY48)",0.4187,1.61,39.63,37.62,212.80,29.81,2.04
"467309 (1996 AW1)",0.5181,1.534,4.77,117.51,229.45,90.28,1.9
"467347 (2003 GR)",0.3177,1.385,55.83,21.12,273.02,19.88,1.63
"467372 (2004 LG)",0.8967,2.065,71.17,256.84,164.72,284.49,2.97
"467609 (2008 AV28)",0.3367,1.19,15.29,304.55,5.96,135.26,1.3
"467917 (2011 OP24)",0.5696,1.245,15.35,144.92,320.90,80.05,1.39
"467963 (2012 JT17)",0.6159,2.479,14.32,224.98,118.03,25.53,3.9
"468005 (2012 XD112)",0.3658,1.323,3.72,97.77,76.79,234.88,1.52
"468117 (2014 ED)",0.6382,1.547,21.77,74.95,355.08,221.61,1.92
"468481 (2004 TP20)",0.3510,1.344,25.37,213.49,264.91,251.11,1.56
"468541 (2006 QA31)",0.4577,1.198,11.86,95.81,358.58,237.19,1.31
"468583 (2007 LS)",0.6816,2.695,6.38,200.92,168.66,292.47,4.42
"468910 (2014 KQ76)",0.4233,1.007,4.77,127.63,325.15,232.41,1.01
"469219 Kamo`oalewa (2016 HO3)",0.1026,1.001,7.80,65.75,304.94,12.09,1
"469356 (2001 DR8)",0.6720,1.926,6.56,334.46,43.68,1.63,2.67
"469494 (2002 XS40)",0.3380,1.497,11.63,97.61,83.79,270.34,1.83
"469513 (2003 QR79)",0.3055,1.279,17.16,333.02,103.19,160.17,1.45
"469722 (2005 LP40)",0.5473,1.964,23.62,148.63,186.75,348.63,2.75
"469727 (2005 NK1)",0.7271,1.604,33.56,113.69,10.13,306.68,2.03
"469896 (2005 WC1)",0.4865,1.401,19.98,264.94,256.82,102.44,1.66
"469929 (2006 AK8)",0.1224,1.157,28.95,118.55,72.09,329.35,1.24
"470004 (2006 MJ10)",0.5859,1.876,39.29,106.03,272.61,18.34,2.57
"470951 (2009 LS)",0.2913,1.263,45.00,252.74,176.30,137.15,1.42
"471083 (2009 XF2)",0.2469,1.286,14.01,88.46,113.46,329.41,1.46
"471240 (2011 BT15)",0.3024,1.293,1.66,105.35,308.81,147.30,1.47
"471241 (2011 BX18)",0.7312,2.872,14.62,310.56,304.22,253.95,4.87
"471323 (2011 KW15)",0.4938,1.17,23.66,283.35,97.52,143.20,1.27
"471487 (2011 VS5)",0.4218,1.238,9.11,356.09,172.87,58.57,1.38
"471926 Jormungandr (2013 KN6)",0.8508,1.466,23.54,229.42,232.53,183.06,1.77
"471956 (2013 SC25)",0.6484,1.604,10.16,272.91,238.08,107.36,2.03
"471984 (2013 UE3)",0.2256,1.026,3.36,49.70,117.47,90.33,1.04
"472263 (2014 RP12)",0.4863,1.036,21.09,38.76,96.50,106.78,1.05
"474158 (1999 FA)",0.1327,1.078,12.03,166.08,296.99,5.21,1.12
"474163 (1999 SO5)",0.0653,1.086,13.37,196.06,359.70,214.77,1.13
"474179 (1999 VS6)",0.2231,1.198,27.97,35.28,89.34,309.01,1.31
"474231 (2001 HZ7)",0.4983,1.47,5.43,156.28,312.87,112.39,1.78
"474451 (2003 SR15)",0.2783,1.278,14.08,176.19,255.59,164.58,1.44
"474549 (2003 WX153)",0.6026,2.186,32.54,91.35,63.15,141.72,3.23
"474554 (2003 YQ94)",0.6179,2.653,8.53,272.31,85.90,331.49,4.32
"474585 (2004 HC2)",0.3114,1.387,55.03,190.33,303.15,228.22,1.63
"475016 (2005 UO)",0.5824,1.351,7.71,19.15,258.56,74.85,1.57
"475950 (2007 FE1)",0.5489,2.017,9.85,44.73,193.24,18.94,2.87
"476093 (2007 TC66)",0.7098,2.069,10.47,101.90,35.71,227.50,2.98
"476187 (2007 UQ13)",0.4255,1.165,29.30,217.66,29.45,294.77,1.26
"476601 (2008 SE85)",0.5251,1.626,29.61,177.42,294.90,228.98,2.07
"476904 (2008 WK32)",0.3788,1.396,15.46,58.75,139.94,127.56,1.65
"477162 (2009 ES)",0.3293,1.436,30.33,343.71,311.18,280.63,1.72
"477327 (2009 TB8)",0.7053,2.276,10.18,276.54,228.39,97.58,3.43
"477491 (2010 CD19)",0.5788,2.258,20.75,309.41,132.60,125.60,3.39
"477519 (2010 DJ56)",0.2453,1.25,34.84,149.91,309.28,231.65,1.4
"477588 (2010 JD87)",0.6395,1.428,24.62,338.34,148.60,206.07,1.71
"478574 (2012 TS78)",0.3818,1.608,32.67,8.27,196.78,123.69,2.04
"478784 (2012 UV136)",0.1396,1.009,2.10,207.82,290.29,216.16,1.01
"479325 (2013 TV5)",0.2528,1.334,18.77,351.19,69.83,43.79,1.54
"479345 (2013 WY67)",0.3727,1.343,19.83,63.97,152.01,254.65,1.56
"480822 (1998 YM4)",0.7196,1.477,3.43,341.75,344.56,176.01,1.79
"480823 (1998 YW5)",0.6204,1.24,8.34,219.78,355.16,193.37,1.38
"480858 (2001 PT9)",0.4552,1.468,7.18,329.97,261.65,51.99,1.78
"480885 (2002 AC29)",0.5030,1.642,26.61,85.05,129.73,220.40,2.1
"480927 (2002 YZ3)",0.7960,1.943,19.92,350.13,358.80,32.86,2.71
"480936 (2003 QH5)",0.2202,1.26,17.62,299.21,321.16,27.81,1.41
"481025 (2004 VA1)",0.5124,1.051,14.91,250.73,20.89,261.35,1.08
"481127 (2005 UJ6)",0.4160,1.068,19.00,42.36,131.41,322.56,1.1
"481457 (2006 XD2)",0.4251,1.267,3.56,65.59,109.53,136.97,1.43
"481482 (2007 CA19)",0.8215,2.808,9.60,169.92,102.60,256.19,4.71
"481532 (2007 LE)",0.5157,1.839,29.55,73.62,120.28,4.16,2.49
"481542 (2007 RF5)",0.3836,1.064,31.92,12.67,221.47,293.07,1.1
"481918 (2009 BE77)",0.8303,2.511,20.99,200.74,27.46,314.43,3.98
"481965 (2009 EB1)",0.4542,1.107,12.51,151.30,187.58,344.98,1.16
"482054 (2010 AE)",0.3769,1.489,15.98,294.47,270.87,0.41,1.82
"482228 (2011 BH10)",0.3725,1.583,12.46,323.84,81.06,321.91,1.99
"482344 (2011 WL15)",0.2819,1.352,18.39,72.91,170.72,234.60,1.57
"482467 (2012 LK9)",0.6197,2.512,10.14,61.84,314.59,350.14,3.98
"482488 (2012 SW20)",0.6785,2.462,10.16,209.59,62.39,63.97,3.86
"482505 (2012 TQ78)",0.3835,1.201,11.38,51.90,119.04,285.49,1.32
"482562 (2012 VN82)",0.5065,1.551,9.72,228.58,331.30,340.01,1.93
"482566 (2012 WK4)",0.3074,1.205,4.29,150.92,161.91,64.99,1.32
"482650 (2013 BK18)",0.4947,1.626,28.88,137.69,64.68,217.81,2.07
"482766 (2013 GF69)",0.4976,1.967,10.01,174.89,153.19,357.04,2.76
"482798 (2013 QK48)",0.8298,1.586,18.97,141.41,47.18,269.75,2
"483422 (2000 CE59)",0.1668,1.138,12.26,318.62,307.53,16.23,1.21
"483423 (2000 DO1)",0.6818,1.43,3.46,335.78,302.82,110.43,1.71
"483432 (2001 DF47)",0.3708,1.215,18.47,146.62,260.28,293.85,1.34
"483459 (2002 EM6)",0.1414,1.16,31.76,169.49,121.01,283.81,1.25
"483468 (2002 JY8)",0.5949,2.334,24.28,127.89,188.09,83.60,3.57
"483471 (2002 LS32)",0.6972,1.784,8.86,239.75,151.77,106.11,2.38
"483472 (2002 NX)",0.4338,1.742,15.01,288.38,62.41,224.89,2.3
"483504 (2002 XN14)",0.4408,1.768,11.80,86.14,310.99,128.63,2.35
"483508 (2003 CR1)",0.4628,1.453,12.72,310.93,101.97,179.82,1.75
"483560 (2004 BV1)",0.3673,1.463,12.16,96.74,223.28,16.85,1.77
"483563 (2004 BD68)",0.8296,1.902,19.24,172.04,203.89,347.98,2.62
"483989 (2006 CY10)",0.4841,1.96,6.77,32.50,167.39,274.89,2.74
"484199 (2006 WS1)",0.4640,1.221,17.99,312.10,319.91,163.50,1.35
"484402 (2007 XH16)",0.2348,1.187,27.43,91.27,58.32,323.00,1.29
"484462 (2008 CM20)",0.2228,1.306,21.07,306.91,226.72,35.67,1.49
"484506 (2008 ER7)",0.6241,1.486,2.24,323.41,81.04,117.92,1.81
"484757 (2009 BL2)",0.6012,2.475,7.04,146.65,58.56,332.12,3.89
"484795 (2009 DE47)",0.2758,1.096,20.06,29.82,41.88,301.74,1.15
"484976 (2009 UN3)",0.5756,2.328,37.43,141.96,338.75,54.94,3.55
"485110 (2010 HZ108)",0.2085,1.249,22.88,173.99,106.65,67.66,1.4
"485652 (2011 WO41)",0.7292,3.024,20.14,111.08,126.39,150.80,5.26
"485823 (2012 DF61)",0.4978,1.149,5.31,15.38,27.40,144.56,1.23
"485882 (2012 FK35)",0.5811,1.452,35.94,18.40,303.11,333.08,1.75
"486692 (2013 VC13)",0.5885,1.524,7.19,199.98,61.36,339.37,1.88
"486739 (2014 EW24)",0.4200,1.36,8.58,48.17,342.20,358.63,1.59
"487580 (2015 BA92)",0.5642,1.131,17.33,116.63,181.35,247.49,1.2
"487583 (2015 FJ36)",0.3095,1.025,4.43,291.18,98.20,217.01,1.04
"488453 (1994 XD)",0.7337,2.344,4.33,96.02,249.55,122.74,3.59
"488461 (1996 FS1)",0.7621,1.449,38.81,170.05,224.59,178.34,1.74
"488474 (1999 HD1)",0.4177,1.131,18.22,209.86,147.96,317.93,1.2
"488490 (2000 AF205)",0.2770,1.035,2.41,219.90,127.51,292.48,1.05
"488515 (2001 FE90)",0.4952,1.935,8.81,98.38,145.42,256.64,2.69
"488615 (2002 SR)",0.1959,1.179,6.69,160.86,285.19,19.66,1.28
"488645 (2003 OV)",0.8562,2.243,10.32,261.55,148.12,104.81,3.36
"488698 (2003 XV10)",0.6795,1.435,11.57,1.83,321.54,77.62,1.72
"488789 (2004 XK50)",0.6886,1.451,38.23,94.05,104.02,88.88,1.75
"489453 (2007 BX48)",0.3597,1.387,14.81,303.02,8.14,111.69,1.63
"489486 (2007 GS3)",0.1291,1.061,15.09,215.39,61.07,306.17,1.09
"489900 (2008 KP)",0.7896,1.101,59.86,62.44,345.01,318.98,1.15
"490354 (2009 FF19)",0.4092,1.213,0.56,84.88,244.81,127.29,1.34
"490684 (2010 LL34)",0.5545,1.28,22.73,120.24,271.02,278.23,1.45
"491007 (2011 GL62)",0.7070,1.14,15.70,189.83,244.40,91.56,1.22
"491424 (2012 ET14)",0.5663,1.681,66.23,166.65,174.49,110.71,2.18
"491567 (2012 RG3)",0.5282,1.575,15.90,112.98,35.27,289.22,1.98
"492143 (2013 OE)",0.5089,2.033,9.79,229.97,220.25,231.94,2.9
"492478 (2014 NB39)",0.6860,1.675,17.02,218.45,179.66,224.86,2.17
"494658 (2000 UG11)",0.5718,1.929,8.91,223.91,240.87,322.34,2.68
"494689 (2004 JR)",0.6456,1.891,45.47,209.51,139.59,279.89,2.6
"494690 (2004 JQ1)",0.4500,1.193,32.83,77.05,272.66,168.24,1.3
"494697 (2004 SW55)",0.3340,1.428,8.79,75.12,352.85,241.22,1.71
"494706 (2005 GL9)",0.8962,2.141,20.06,225.59,162.23,109.29,3.13
"494713 (2005 OU2)",0.3733,1.235,47.78,127.34,310.16,284.40,1.37
"494880 (2008 SQ7)",0.2978,1.354,16.57,184.91,272.45,21.46,1.58
"494975 (2009 WO106)",0.3853,1.374,17.35,281.69,134.68,105.64,1.61
"495102 (2011 UU106)",0.4818,1.826,9.93,251.76,242.18,49.51,2.47
"495187 (2012 VO76)",0.2150,1.204,36.95,229.47,297.36,272.72,1.32
"495323 (2014 JG78)",0.5633,1.324,17.92,178.94,198.18,237.12,1.52
"495829 (1995 LG)",0.7907,1.065,43.59,276.43,160.14,191.84,1.1
"495848 (2002 QD7)",0.6475,2.422,11.63,197.92,197.17,307.45,3.77
"495858 (2003 MJ4)",0.5614,2.303,5.31,77.39,271.87,12.11,3.5
"495930 (2006 AR2)",0.4178,1.488,29.98,278.13,287.54,65.93,1.82
"495960 (2007 MT20)",0.6132,1.846,16.65,226.34,148.67,295.95,2.51
"496005 (2007 XJ16)",0.5563,2.258,6.23,309.06,32.99,32.92,3.39
"496013 (2008 EL6)",0.4810,1.728,13.14,177.66,38.41,93.80,2.27
"496174 (2011 CQ4)",0.5833,2.001,23.74,85.97,86.48,266.40,2.83
"496327 (2013 MY6)",0.5030,1.532,52.23,124.97,9.83,54.07,1.9
"496816 (1989 UP)",0.4722,1.862,3.85,53.16,17.82,256.52,2.54
"496817 (1989 VB)",0.4601,1.862,2.18,37.85,330.92,278.40,2.54
"496860 (1999 XL136)",0.6465,1.819,8.91,269.97,275.47,28.38,2.45
"496861 (2000 BE19)",0.5586,1.87,10.12,71.54,326.54,264.00,2.56
"496869 (2000 QU7)",0.6475,2.282,22.32,339.12,87.77,343.52,3.45
"496901 (2001 HB)",0.6940,1.314,9.28,195.82,238.00,260.14,1.51
"496962 (2002 GP186)",0.3312,1.285,8.11,31.17,24.84,284.09,1.46
"496981 (2002 RP28)",0.3907,1.661,8.00,163.35,250.72,84.06,2.14
"497025 (2003 QW30)",0.3315,1.053,11.28,164.53,303.16,111.51,1.08
"497113 (2004 EK1)",0.2509,1.25,11.64,166.87,300.45,305.37,1.4
"497117 (2004 FU4)",0.2639,1.26,23.25,31.56,46.31,296.47,1.41
"497135 (2004 QD20)",0.6976,2.173,17.54,224.20,353.40,138.03,3.2
"497174 (2004 TK10)",0.2987,1.058,24.60,205.30,347.75,340.26,1.09
"497232 (2005 EF)",0.1664,1.207,18.59,350.72,269.50,206.81,1.33
"497245 (2005 FH)",0.6514,2.701,35.14,143.56,318.30,172.37,4.44
"497626 (2006 QT89)",0.4729,1.482,24.48,162.38,56.29,81.45,1.8
"498068 (2007 RT146)",0.4488,1.836,16.82,196.03,86.31,358.63,2.49
"498143 (2007 TR65)",0.5616,1.154,43.49,23.75,215.75,330.31,1.24
"498548 (2008 GH110)",0.2810,1.273,29.24,205.89,248.66,269.65,1.44
"499582 (2010 TH19)",0.3101,1.464,6.83,254.20,201.50,277.30,1.77
"500080 (2011 WV134)",0.6753,2.795,6.02,157.64,25.90,250.63,4.67
"500094 (2012 BC20)",0.2790,1.374,23.84,151.63,103.95,249.42,1.61
"500749 (2013 AP60)",0.7503,2.867,21.90,251.04,49.18,168.96,4.85
"500922 (2013 PE26)",0.6121,1.553,45.56,315.98,204.54,37.97,1.93
"501243 (2013 VG13)",0.3546,1.045,7.80,156.56,24.76,354.25,1.07
"501878 (2014 WF365)",0.7616,2.263,17.82,165.70,15.22,288.62,3.41
"503861 (1998 WZ1)",0.5566,2.163,4.31,344.84,137.37,35.72,3.18
"503871 (2000 SL)",0.3950,1.54,38.35,207.72,70.22,249.71,1.91
"503880 (2000 YJ29)",0.8312,1.96,43.83,265.97,327.94,221.86,2.74
"503892 (2001 UF18)",0.6098,1.141,31.27,45.97,202.59,16.74,1.22
"503911 (2002 FD6)",0.3420,1.233,10.06,15.16,256.89,123.31,1.37
"503941 (2003 UV11)",0.7626,1.453,5.93,31.78,124.95,324.10,1.75
"503960 (2004 QF1)",0.2906,1.051,17.82,332.91,174.08,124.74,1.08
"503966 (2004 RX109)",0.8117,2.21,29.03,200.59,37.31,65.71,3.29
"504033 (2005 UN157)",0.8583,2.512,44.38,21.48,210.11,309.13,3.98
"504034 (2005 UJ159)",0.8317,3.343,35.61,80.25,95.79,26.44,6.11
"504074 (2006 AD)",0.4899,1.048,54.99,120.36,87.27,92.10,1.07
"504181 (2006 TC)",0.9122,1.538,19.56,151.82,61.46,187.47,1.91
"504256 (2006 VD13)",0.4837,1.948,11.71,313.94,162.89,185.93,2.72
"504680 (2009 EO2)",0.4807,1.712,11.48,264.63,220.60,2.81,2.24
"504711 (2009 SP171)",0.3558,1.356,25.62,223.08,285.21,79.69,1.58
"504800 (2010 CO1)",0.2179,1.013,24.02,351.56,252.71,78.84,1.02
"505019 (2011 QH21)",0.2334,1.308,22.84,241.27,269.42,118.14,1.5
"505178 (2012 TV78)",0.5488,1.816,7.47,251.75,244.94,268.57,2.45
"505657 (2014 SR339)",0.3038,1.299,29.79,138.74,299.64,217.16,1.48
"506074 Svarog (2015 UM67)",0.6874,1.558,6.01,150.02,132.27,247.70,1.94
"506437 (2000 WL10)",0.7177,3.138,10.26,252.01,115.31,108.03,5.56
"506459 (2002 AL14)",0.1261,1.038,23.00,128.49,226.08,331.70,1.06
"506491 (2003 UW29)",0.8386,1.17,3.76,196.48,55.27,255.96,1.26
"506590 (2005 XB1)",0.4187,1.131,8.71,73.31,232.93,323.99,1.2
"506732 (2006 VW2)",0.2944,1.236,10.05,229.77,299.68,290.05,1.37
"506859 (2007 VW137)",0.7348,2.236,5.83,297.40,247.48,351.64,3.34
"507355 (2011 VV5)",0.6928,1.308,25.32,277.36,7.13,282.22,1.5
"507716 (2013 UP8)",0.6191,2.535,47.83,55.16,187.36,318.58,4.04
"508772 (1998 WP7)",0.4327,1.225,21.97,230.73,65.47,98.36,1.36
"508774 (1999 JE1)",0.7017,1.323,20.91,53.06,302.74,214.12,1.52
"508786 (2000 BL19)",0.6359,2.742,14.61,311.52,244.54,153.45,4.54
"508871 (2003 CN17)",0.5181,1.847,32.05,330.76,265.65,205.69,2.51
"508912 (2004 BB)",0.5191,1.981,24.47,129.36,58.16,128.54,2.79
"508918 (2004 BG86)",0.6133,1.352,36.17,146.65,123.40,18.56,1.57
"508967 (2004 VC17)",0.8109,1.895,20.40,229.17,65.16,247.56,2.61
"508997 (2005 FL4)",0.7136,2.677,28.87,66.40,177.89,170.04,4.38
"509073 (2005 UM5)",0.5524,1.211,3.22,84.88,170.60,174.14,1.33
"509191 (2006 OC5)",0.6521,2.402,4.74,149.09,245.80,305.36,3.72
"509456 (2007 LF)",0.4198,1.682,6.99,239.39,333.92,359.45,2.18
"509520 (2007 WB)",0.7096,1.669,13.73,83.04,203.75,351.59,2.16
"509523 (2007 XP3)",0.8868,2.246,13.13,94.71,214.29,24.21,3.37
"509821 (2008 WQ63)",0.6071,1.734,0.92,317.08,229.02,308.58,2.28
"509935 (2009 QL8)",0.5409,1.931,4.24,84.47,339.66,202.68,2.68
"510055 (2010 FH81)",0.2105,1.226,16.80,84.60,158.31,223.80,1.36
