"full_name","e","a","i","om","w","ma","per_y"
" 85774 (1998 UT18)",0.3288,1.403,13.59,64.62,50.15,178.64,1.66
" 85818 (1998 XM4)",0.4160,1.657,62.72,235.64,301.22,306.51,2.13
" 85938 (1999 DJ4)",0.4846,1.853,9.14,19.87,197.79,41.94,2.52
" 85990 (1999 JV6)",0.3111,1.008,5.36,124.30,235.57,312.19,1.01
" 86039 (1999 NC43)",0.5789,1.76,7.13,311.62,120.81,217.35,2.33
" 86666 (2000 FL10)",0.4271,1.463,29.01,186.91,258.87,1.21,1.77
" 86819 (2000 GK137)",0.5059,1.995,10.06,164.88,150.30,212.48,2.82
" 86829 (2000 GR146)",0.5750,1.463,14.37,78.46,31.41,353.40,1.77
" 86878 (2000 HD24)",0.6186,1.342,9.47,230.99,214.92,314.19,1.55
" 87024 (2000 JS66)",0.1898,1.197,14.43,230.50,84.94,157.59,1.31
" 87025 (2000 JT66)",0.4835,1.226,25.32,120.49,359.61,46.30,1.36
" 87311 (2000 QJ1)",0.5121,1.59,7.70,191.42,343.53,132.63,2.01
" 88254 (2001 FM129)",0.6296,1.182,1.52,272.11,140.23,166.57,1.29
" 88710 (2001 SL9)",0.2701,1.061,21.90,202.83,329.36,243.30,1.09
" 88959 (2001 TZ44)",0.5635,1.724,53.83,38.96,114.92,18.09,2.26
" 89136 (2001 US16)",0.2530,1.356,1.91,175.90,67.20,332.59,1.58
" 89958 (2002 LY45)",0.8864,1.642,9.91,188.16,222.94,186.10,2.1
" 89959 (2002 NT7)",0.5284,1.735,42.36,132.00,300.71,206.61,2.29
" 90075 (2002 VU94)",0.5755,2.136,8.91,226.73,30.77,128.37,3.12
" 90147 (2002 YK14)",0.3316,1.474,28.00,282.69,105.07,80.67,1.79
" 90367 (2003 LC5)",0.4263,1.156,16.88,86.82,313.86,332.13,1.24
" 90403 (2003 YE45)",0.2802,1.234,19.01,286.23,306.85,341.08,1.37
" 90416 (2003 YK118)",0.4924,1.695,7.83,326.76,233.29,117.11,2.21
" 96315 (1997 AP10)",0.6435,1.443,6.65,293.03,356.29,210.78,1.73
" 96536 (1998 SO10)",0.7771,2.304,41.12,199.42,22.67,216.61,3.5
" 96744 (1999 OW3)",0.7794,2.095,34.79,196.00,35.85,186.52,3.03
" 98943 Torifune (2001 CC21)",0.2192,1.032,4.81,75.45,179.40,124.76,1.05
" 99248 (2001 KY66)",0.5073,1.867,10.61,284.11,61.58,359.76,2.55
" 99935 (2002 AV4)",0.6448,1.654,12.77,16.33,323.00,351.00,2.13
"100004 (1983 VA)",0.7026,2.591,15.70,76.30,13.72,253.30,4.17
"100085 (1992 UY4)",0.6190,2.651,2.64,305.18,42.24,158.29,4.32
"100756 (1998 FM5)",0.5546,2.264,11.58,176.51,312.06,293.21,3.41
"101869 (1999 MM)",0.6109,1.624,4.77,110.92,268.84,52.69,2.07
"101955 Bennu (1999 RQ36)",0.2037,1.126,6.03,2.06,66.22,101.70,1.2
"103067 (1999 XA143)",0.5812,1.844,38.56,116.52,104.10,289.32,2.5
"106538 (2000 WK63)",0.7655,2.419,10.33,163.38,41.76,72.49,3.76
"106589 (2000 WN107)",0.6176,2.146,14.37,163.36,11.83,153.16,3.14
"108906 (2001 PL9)",0.3604,1.235,20.93,172.05,344.02,103.40,1.37
"111253 (2001 XU10)",0.4394,1.754,42.02,310.15,6.97,62.23,2.32
"136617 (1994 CC)",0.4169,1.638,4.68,268.51,24.92,103.64,2.1
"136618 (1994 CN2)",0.3948,1.573,1.44,99.34,248.28,340.11,1.97
"136770 (1996 PC1)",0.4516,1.838,25.10,326.21,45.95,87.22,2.49
"136793 (1997 AQ18)",0.4653,1.147,17.37,296.24,37.04,312.49,1.23
"136795 Tatsunokingo (1997 BQ)",0.4780,1.747,10.99,50.13,147.57,340.73,2.31
"136849 (1998 CS1)",0.5785,1.492,7.79,110.68,97.80,204.65,1.82
"136874 (1998 FH74)",0.8842,2.202,21.16,197.54,193.40,94.70,3.27
"136900 (1998 HL49)",0.6367,1.748,10.98,205.95,239.25,248.24,2.31
"136993 (1998 ST49)",0.5956,2.309,24.48,18.21,48.08,140.98,3.51
"137032 (1998 UO1)",0.7636,1.595,25.49,358.37,252.54,10.40,2.02
"137052 Tjelvar (1998 VO33)",0.8097,1.248,14.91,64.27,209.91,253.23,1.39
"137062 (1998 WM)",0.3153,1.225,22.52,45.62,172.59,270.84,1.36
"137078 (1998 XZ4)",0.6380,1.938,23.15,324.44,9.65,243.21,2.7
"137084 (1998 XS16)",0.4967,1.212,26.56,272.98,358.32,318.55,1.33
"137099 (1998 YW3)",0.4627,1.1,28.79,94.27,194.84,289.11,1.15
"137108 (1999 AN10)",0.5621,1.459,39.93,314.34,268.33,177.03,1.76
"137120 (1999 BJ8)",0.5490,1.901,8.97,339.46,222.00,272.88,2.62
"137126 (1999 CF9)",0.6012,1.772,5.55,156.87,90.54,280.89,2.36
"137158 (1999 FB)",0.6070,1.18,12.90,37.09,3.06,53.68,1.28
"137175 (1999 JA11)",0.3412,1.261,16.43,116.22,328.35,95.62,1.42
"137427 (1999 TF211)",0.6116,2.44,39.49,347.91,162.38,132.56,3.81
"137925 (2000 BJ19)",0.7637,1.292,31.11,131.22,175.52,146.39,1.47
"138013 (2000 CN101)",0.6348,1.598,15.98,183.35,118.69,305.84,2.02
"138175 (2000 EE104)",0.2932,1.004,5.24,25.50,280.87,52.66,1.01
"138205 (2000 EZ148)",0.6121,2.584,11.18,3.83,305.84,293.26,4.15
"138325 (2000 GO82)",0.8048,2.162,25.73,173.33,164.45,222.29,3.18
"138359 (2000 GX127)",0.3613,1.142,20.24,43.98,4.75,185.55,1.22
"138404 (2000 HA24)",0.3186,1.139,2.16,309.35,142.20,139.80,1.22
"138727 (2000 SU180)",0.6052,2.105,11.92,327.89,136.32,289.27,3.05
"138846 (2000 VJ61)",0.5645,2.182,18.69,270.32,280.73,119.13,3.22
"138852 (2000 WN10)",0.2981,1.002,21.52,60.86,225.37,57.88,1
"138859 (2000 WN63)",0.5314,1.573,13.16,55.87,144.43,305.43,1.97
"138877 (2000 XG47)",0.5429,2.14,25.32,43.79,127.65,188.47,3.13
"138883 (2000 YL29)",0.3439,1.536,21.89,182.75,115.86,4.78,1.9
"138893 (2000 YH66)",0.7437,1.173,18.36,265.24,341.39,186.88,1.27
"138937 (2001 BK16)",0.6778,2.073,31.81,98.83,252.46,7.01,2.98
"138947 (2001 BA40)",0.2538,1.119,12.85,270.86,0.08,257.77,1.18
"138971 (2001 CB21)",0.3334,1.034,7.92,353.67,271.93,115.89,1.05
"139289 (2001 KR1)",0.8413,1.26,23.26,102.71,291.49,148.11,1.41
"139345 (2001 KA67)",0.7018,1.805,22.28,108.34,38.00,253.18,2.42
"139359 (2001 ME1)",0.8700,2.634,5.96,84.57,302.40,138.82,4.27
"139622 (2001 QQ142)",0.3101,1.421,9.34,83.16,337.95,190.84,1.69
